Variable_name,RA,DEC,MAG,ZTF_NAME
MGAB-V300,19 49 47.59,+03 13 05.2,19.6,ZTF18aceglmy
MGAB-V534,00 31 51.75,+20 20 51.0,20.1,ZTF18abnckew
MGAB-V325,20 28 21.46,+51 39 34.4,18.4,ZTF18abgjmhq
2MASS J23430113+5214305,23 43 01.13,+52 14 30.5,16.4,ZTF17aabunpt
MGAB-V278,05 21 38.98,+43 59 54.4,19.9,ZTF18abqedag
MGAB-V270,21 28 22.20,+63 25 57.5,20.4,ZTF18abihypg
MGAB-V830,19 41 04.85,+31 57 47.9,18.0,ZTF18abdiirq
MGAB-V252,19 30 11.53,+46 59 28.1,20.1,ZTF18aaqijot
MGAB-V1111,23 38 43.57,+57 17 20.0,21.1,ZTF18abjmxql
MGAB-V231,21 51 53.41,+50 45 37.3,20.3,ZTF18abkbwsk
MGAB-V236,19 40 54.51,+35 44 18.5,18.4,ZTF18aasnqqm
MGAB-V279,18 54 23.45,+32 38 05.9,17.9,ZTF18aaragdx
MGAB-V435,19 46 11.05,+47 56 10.7,19.0,ZTF18aaptbfp
MGAB-V320,18 22 41.28,+12 11 06.6,19.9,ZTF18abmdnao
MGAB-V903,20 07 54.82,+03 27 38.1,19.7,ZTF18abwurjm
MGAB-V517,19 42 35.92,+02 50 52.4,19.0,ZTF18abjtjuw
MGAB-V955,20 24 08.72,+45 17 49.2,20.3,ZTF18abgyivh
MGAB-V537,20 49 23.28,+18 35 08.8,19.1,ZTF18ablvxfm
MGAB-V543,22 15 49.35,+47 21 01.3,21.4,ZTF18abajtog
MGAB-V584,02 02 31.50,+56 23 38.9,20.1,ZTF18aabfagc
MGAB-V1217,23 18 07.22,+52 33 24.8,16.8,ZTF17aaawqgg
MGAB-V328,21 54 21.25,+51 39 49.2,20.0,ZTF17aaawhfm
