name,ra,dec
18ablvaya,00 14 36.26,+50 32 39.9
18abcrbtv,00 14 00.93,+59 48 02.8
18abuocxn,00 17 09.52,+48 53 49.6
18abgjgyt,00 20 09.52,+51 19 13.0
18abgrzbs,00 33 03.96,+38 01 05.3
17aabumcd,00 34 17.70,+43 45 39.3
18aczower,00 34 59.91,+27 36 19.0
18accbuhi,00 36 15.24,+38 51 31.8
18abmntno,00 47 30.31,+58 32 01.8
17aaaeefu,00 59 43.51,+64 54 42.2
18abgtrkj,01 12 37.73,+61 27 35.4
18abvytad,01 14 17.73,+59 35 54.7
18abumrmx,01 15 16.55,+24 55 30.1
18abflqfh,01 17 12.39,+58 28 04.3
17aaaruaj,01 28 36.51,+53 28 29.3
18abzbknn,01 32 37.26,+60 36 09.3
18abqasii,01 34 38.24,+52 06 15.9
18aabfagc,02 02 31.50,+56 23 38.9
18abtlqub,02 04 58.23,+57 28 06.9
17aaatlsc,02 14 12.97,+52 25 56.8
18aabfbek,02 45 07.91,+46 33  0.0
18ablwmaq,02 45 43.60,+63 16 48.7
18abtmqvh,03 32 24.87,+53 36 17.3
18acsjgoa,03 42 46.18,+33 42 43.2
18adarypz,04 01 17.42,+28 39 41.7
18acuwgij,04 02 14.23,+22 08 35.5
19aactcry,04 03 41.03,+47 56 26.4
18aabffpk,04 22 15.21,+29 47 58.5
18aaadvfu,04 28 37.10,+31 57 57.7
18achqmhh,04 29 47.30,+18 47 48.4
18acsjdxo,04 39 16.69,+15 26 33.6
17aactzul,04 51 22.36,+16 10 19.5
18aaadvfh,04 55 27.72,+38 58 59.0
18abvlkyj,04 56 44.78,+50 45 32.8
17aaabekg,05 04 28.06,+44 46 37.5
18abuafzd,05 21 55.88,+38 52 15.1
17aaatnzw,05 24 04.33,+37 04 06.2
18abvtosb,05 28 55.68,+36 18 38.8
17aabdvhz,05 37 31.70,+50 15 21.4
17aaczwtq,05 53 33.12,+24 42 33.0
18abuqngq,06 11 25.06,+22 21 17.1
17aaatdec,06 13 32.17,+06 57 07.6
18abyyhsf,06 16 00.22,+21 22 29.9
17aadbpoq,06 18 09.21,+27 38 24.4
17aacpcfj,06 19 52.22,+24 20 58.6
18aaaanuc,06 21 23.26,+19 13 00.3
18aabtvzf,06 26 22.62,+19 46 32.6
17aabyrom,06 29 54.23,+25 39 11.8
17aacmlmj,06 31 27.16,+22 12 26.7
18abypyap,06 31 45.99,+09 54 45.2
18abztcib,06 33 30.75,+59 18 47.8
19aakmorl,06 37 33.01,-09 35 42.1
18achtpcj,06 41 21.30,+44 41 05.6
17aaaoxxi,06 49 01.96,+08 59 44.6
17aabziqr,06 52 13.34,+30 57 22.2
19aaekpin,06 54 04.39,-09 41 03.5
18acphaci,06 55 50.84,-09 32 37.6
18acuxkzq,07 04 37.59,+06 01 13.3
18acpvmnu,07 07 35.97,-09 12 41.7
18acnnxrd,07 11 28.27,-03 26 15.0
18acuxvld,07 15 12.98,-06 42 38.3
18acvvthl,07 49 40.33,+07 15 56.0
18acqxeba,08 03 16.61,+66 11 10.0
18aabuaxp,08 19 31.24,+21 33 38.0
18aabjjuj,09 11 47.01,+31 51 01.8
18acnocdo,09 14 42.69,+67 10 36.9
18aczejci,09 26 20.42,+03 45 42.4
18aabywzu,10 37 38.65,+12 42 50.1
17aaclmhw,10 53 33.76,+28 50 35.7
19aacyjjz,11 10 18.95,-05 22 18.4
18aaqepuc,11 37 08.67,+51 34 50.9
18abbghiz,12 56 09.84,+62 37 04.4
18aabqewr,12 58 32.22,+26 01 06.0
18aabxycb,13 15 14.42,+42 47 44.6
18aajlfdq,13 56 42.38,+61 30 24.4
18aawqkva,15 44 28.10,+33 57 26.4
18aavojbe,15 46 52.71,+37 54 14.9
18abklaip,15 50 30.38,-00 14 17.4
18aakuohk,16 17 00.94,+62 00 24.6
18abagclj,16 26 05.66,+22 50 43.5
18aakvnlw,16 47 48.00,+43 38 45.0
18abkikam,17 04 44.51,+26 20 28.5
18aaisdps,17 05 15.33,+72 44 03.2
18abpaake,17 06 06.10,+25 51 53.2
19aagdvdi,17 11 38.40,+05 39 50.9
18abeechv,17 16 02.90,+29 27 36.5
18abfwukx,17 26 24.11,+36 25 06.3
19aanvbqa,17 27 50.17,+23 52 47.5
18aapqotx,17 32 30.30,+50 09 32.6
18aakzqjh,17 46 48.85,+19 47 44.5
18aaploaw,17 47 25.61,+63 02 47.9
18aajrtmo,17 48 27.86,+50 50 39.7
18abckxfb,17 49 21.78,+19 44 22.9
18abffzyg,17 52 38.47,+07 33 04.5
18abfmuvj,17 53 30.49,+20 38 07.1
18aasfpxf,17 56 33.39,+57 29 26.6
18aabtvdf,17 56 39.55,+44 40 12.4
18aaumvgk,18 00 18.30,+15 15 28.4
18aapauoa,18 00 43.08,+21 01 34.2
18aagrotg,18 02 31.35,+30 58 29.1
18abcmsux,18 03 24.75,+17 52 31.6
18aayzgkc,18 10 20.69,+32 39 13.8
18abjvmhv,18 15 27.34,+41 56 05.3
18aaptdcp,18 21 22.52,+61 48 55.2
18aaqznkg,18 29 13.38,+31 06 23.6
19aaedxnl,18 30 07.21,+76 43 13.8
18aakytes,18 31 20.68,+30 19 34.9
18acaqbgu,18 34 35.96,+31 32 00.9
18abfgyjt,18 34 59.52,+54 33 15.0
18abdklug,18 37 05.92,+37 17 58.8
18aatzhmn,18 41 51.05,+37 52 28.6
18aaracvu,18 41 59.71,+37 34 11.6
18acdwdgx,18 42 51.29,+33 56 49.5
18aammzjo,18 44 26.89,+36 51 40.2
18aavyoqk,18 45 03.01,+13 55 17.6
18abfxhyn,18 46 12.88,+12 52 29.0
18ablrvfh,18 47 15.37,-06 13 21.0
18abcysbr,18 48 43.45,+29 54 51.1
18abixdpa,18 50 22.30,+74 56 02.5
18aawadah,18 52 16.40,+15 06 23.5
18abbtilo,18 57 44.62,+32 13 46.5
